記号,検索ワード,10進法,16進法
🩷,ピンクのハート heart 恋 愛 好き,&#129655;,&#x1FA77;
❤️,赤色のハート heart 恋 愛 好き,&#10084;&#65039;,&#x2764;&#xFE0F;
🧡,オレンジ色のハート heart 恋 愛 好き,&#129505;,&#x1F9E1;
💛,黄色のハート heart 恋 愛 好き,&#128155;,&#x1F49B;
💚,緑のハート heart 恋 愛 好き,&#128154;,&#x1F49A;
🩵,ライトブルーのハート heart 恋 愛 好き,&#129653;,&#x1FA75;
💙,青のハート heart 恋 愛 好き,&#128153;,&#x1F499;
💜,紫のハート heart 恋 愛 好き,&#128156;,&#x1F49C;
🖤,黒いハート heart 恋 愛 好き,&#128420;,&#x1F5A4;
🩶,グレーのハート heart 恋 愛 好き,&#129654;,&#x1FA76;
🤍,白のハート heart 恋 愛 好き,&#129293;,&#x1F90D;
🤎,茶色のハート heart 恋 愛 好き,&#129294;,&#x1F90E;
💔,割れたハート heart 恋 愛 好き,&#128148;,&#x1F494;
❤️‍🔥,燃えているハート heart 恋 愛 好き,&#10084;&#65039;&#8205;&#128293;,&#x2764;&#xFE0F;&#x200D;&#x1F525;
❤️‍🩹,手当しているハート heart 恋 愛 好き,&#10084;&#65039;&#8205;&#128293;,&#x2764;&#xFE0F;&#x200D;&#129657;
❣️,ハートのビックリマーク heart 恋 愛 好き,&#10083;&#65039;,&#x2763;&#xFE0F;
💕,2つのハート heart 恋 愛 好き,&#129294;,&#x1F495;
💞,回転するハート heart 恋 愛 好き,&#128158;,&#x1F49E;
💓,鼓動するハート heart 恋 愛 好き,&#128147;,&#x1F493;
💗,光るハート heart 恋 愛 好き,&#128151;,&#x1F497;
💖,きらめくハート heart 恋 愛 好き,&#128150;,&#x1F496;
💘,射抜かれたハート heart 恋 愛 好き,&#128152;,&#x1F498;
💝,リボン付きのハート heart 恋 愛 好き,&#128157;,&#x1F49D;
💟,ハートのデコレーション heart 恋 愛 好き,&#128159;,&#x1F49F;
☮️,ピースマーク,&#9774;&#65039;,&#x262E;&#xFE0F;
✝️,ラテン十字,&#10013;&#65039;,&#x271D;&#xFE0F;
☪️,星と三日月 star ほし,&#9770;&#65039;,&#x262A;&#xFE0F;
🕉️,オームマーク,&#128329;&#65039;,&#x1F549;&#xFE0F;
☸️,法輪,&#9784;&#65039;,&#x2638;&#xFE0F;
🪯,カンダ,&#129711;,&#x1FAAF;
✡️,ダビデの星 star ほし,&#10017;&#65039;,&#x2721;&#xFE0F;
🔯,六芒星 star ほし,&#128303;,&#x1F52F;
🕎,ハヌッキーヤー,&#128334;,&#x1F54E;
☯️,陰陽,&#9775;&#65039;,&#x262F;&#xFE0F;
☦️,八端十字架,&#9766;&#65039;,&#x2626;&#xFE0F;
🛐,礼拝所,&#128720;,&#x1F6D0;
⛎,へびつかい座 蛇遣座 オフィウカス Ophiuchus,&#9934;,&#x26CE;
♈,おひつじ座 牡羊座 アリエス Aries,&#9800;,&#x2648;
♉,おうし座 牡牛座 アルデバラン タウラス Taurus,&#9801;,&#x2649;
♊,ふたご座 双子座 ジェミニ Gemini,&#9802;,&#x264A;
♋,ガン,&#9803;,&#x264B;
♌,しし座 獅子座 レオ Leo,&#9804;,&#x264C;
♍,おとめ座 乙女座 バルゴ Virgo,&#9805;,&#x264D;
♎,てんびん座 天秤座 リブラ Libra,&#9806;,&#x264E;
♏,さそり座 蠍座 スコーピオン Scorpio,&#9807;,&#x264F;
♐,いて座 射手座 サジタリウス Sagittarius,&#9808;,&#x2650;
♑,やぎ座 山羊座 カプリコーン Capricorn,&#9809;,&#x2651;
♒,みずがめ座 水瓶座 アクエリアス Aquarius,&#9810;,&#x2652;
♓,うお座 魚座 ピスケス Pisces,&#9811;,&#x2653;
🆔,四角囲みID,&#127380;,&#x1F194;
⚛️,元素記号,&#9883;&#65039;,&#x269B;&#xFE0F;
🉑,丸囲み許可,&#127569;,&#x1F251;
☢️,放射能標識,&#9762;&#65039;,&#x2622;&#xFE0F;
☣️,バイオハザード標識,&#9763;&#65039;,&#x2623;&#xFE0F;
📴,携帯電話電源オフ,&#128244;,&#x1F4F4;
📳,マナーモード,&#128243;,&#x1F4F3;
🈶,四角囲み有,&#127542;,&#x1F236;
🈚,四角囲み無,&#127514;,&#x1F21A;
🈸,四角囲み申,&#127544;,&#x1F238;
🈺,四角囲み営,&#127546;,&#x1F23A;
🈷️,四角囲み月,&#128243;&#65039;,&#x1F237;&#xFE0F;
✴️,八稜星 star ほし,&#10036;&#65039;,&#x2734;&#xFE0F;
🆚,四角囲みVS,&#127386;,&#x1F19A;
💮,白い花,&#128174;,&#x1F4AE;
🉐,丸囲み得,&#127568;,&#x1F250;
㊙️,丸囲み秘,&#12953;&#65039;,&#x3299;&#xFE0F;
㊗️,丸囲み祝,&#12951;&#65039;,&#x3297;&#xFE0F;
🈴,四角囲みの合,&#127540;,&#x1F234;
🈵,四角囲み満,&#127541;,&#x1F235;
🈹,四角囲み割,&#127545;,&#x1F239;
🈲,四角囲み禁,&#127538;,&#x1F232;
🅰️,黒四角囲みA,&#127344;&#65039;,&#x1F170;&#xFE0F;
🅱️,黒四角囲みB,&#127345;&#65039;,&#x1F171;&#xFE0F;
🆎,黒四角囲みAB,&#127374;,&#x1F18E;
🆑,四角囲みCL,&#127377;,&#x1F191;
🅾️,黒四角囲みO,&#127344;&#65039;,&#x1F17E;&#xFE0F;
🆘,四角囲みSOS,&#127384;,&#x1F198;
❌,バツ印,&#10060;,&#x274C;
⭕,太い大きな丸,&#11093;,&#x2B55;
♏,さそり座 蠍座 スコーピオン Scorpio,&#9807;,&#x264F;
♐,いて座 射手座 サジタリウス Sagittarius,&#9808;,&#x2650;
♑,やぎ座 山羊座 カプリコーン Capricorn,&#9809;,&#x2651;
♒,みずがめ座 水瓶座 アクエリアス Aquarius,&#9810;,&#x2652;
♓,うお座 魚座 ピスケス Pisces,&#9811;,&#x2653;
🆔,四角囲みID,&#127380;,&#x1F194;
⚛️,元素記号,&#9883;&#65039;,&#x269B;&#xFE0F;
🉑,丸囲み許可,&#127569;,&#x1F251;
☢️,放射能標識,&#9762;&#65039;,&#x2622;&#xFE0F;
☣️,バイオハザード標識,&#9763;&#65039;,&#x2623;&#xFE0F;
📴,携帯電話電源オフ,&#128244;,&#x1F4F4;
📳,マナーモード,&#128243;,&#x1F4F3;
🈶,四角囲み有,&#127542;,&#x1F236;
🈚,四角囲み無,&#127514;,&#x1F21A;
🈸,四角囲み申,&#127544;,&#x1F238;
🈺,四角囲み営,&#127546;,&#x1F23A;
🈷️,四角囲み月,&#128243;&#65039;,&#x1F237;&#xFE0F;
✴️,八稜星 star ほし,&#10036;&#65039;,&#x2734;&#xFE0F;
🆚,四角囲みVS,&#127386;,&#x1F19A;
💮,白い花,&#128174;,&#x1F4AE;
🉐,丸囲み得,&#127568;,&#x1F250;
㊙️,丸囲み秘,&#12953;&#65039;,&#x3299;&#xFE0F;
㊗️,丸囲み祝,&#12951;&#65039;,&#x3297;&#xFE0F;
🈴,四角囲みの合,&#127540;,&#x1F234;
🈵,四角囲み満,&#127541;,&#x1F235;
🈹,四角囲み割,&#127545;,&#x1F239;
🈲,四角囲み禁,&#127538;,&#x1F232;
🅰️,黒四角囲みA,&#127344;&#65039;,&#x1F170;&#xFE0F;
🅱️,黒四角囲みB,&#127345;&#65039;,&#x1F171;&#xFE0F;
🆎,黒四角囲みAB,&#127374;,&#x1F18E;
🆑,四角囲みCL,&#127377;,&#x1F191;
🅾️,黒四角囲みO,&#127344;&#65039;,&#x1F17E;&#xFE0F;
🆘,四角囲みSOS,&#127384;,&#x1F198;
❌,バツ印,&#10060;,&#x274C;
⭕,太い大きな丸,&#11093;,&#x2B55;
🛑,一時停止標識,&#128721;,&#x1F6D1;
⛔,立入禁止,&#9940;,&#x26D4;
📛,名札,&#128219;,&#x1F4DB;
🚫,進入禁止,&#128683;,&#x1F6AB;
💯,100点,&#128175;,&#x1F4AF;
💢,怒りマーク,&#128162;,&#x1F4A2;
♨️,温泉,&#9832;&#65039;,&#x2668;&#xFE0F;
🚷,歩行者立入禁止,&#128695;,&#x1F6B7;
🚯,ポイ捨て禁止,&#128687;,&#x1F6AF;
🚳,自転車禁止,&#128691;,&#x1F6B3;
🚱,飲用不可,&#128689;,&#x1F6B1;
🔞,18歳未満禁止,&#128286;,&#x1F51E;
📵,携帯電話禁止,&#128245;,&#x1F4F5;
🚭,禁煙,&#128685;,&#x1F6AD;
❗,赤いビックリマーク,&#10071;,&#x2757;
❕,白いビックリマーク,&#128689;,&#x2755;
❓,赤いはてなマーク,&#10067;,&#x2753;
❔,白いはてなマーク,&#10068;,&#x2754;
‼️,!!マーク,&#8252;&#65039;,&#x203C;&#xFE0F;
⁉️,!?,&#8265;&#65039;,&#x2049;&#xFE0F;
🔅,低輝度,&#128261;,&#x1F505;
🔆,高輝度,&#128262;,&#x1F506;
〽️,庵点,&#12349;&#65039;,&#x303D;&#xFE0F;
⚠️,警告,&#9888;&#65039;,&#x26A0;&#xFE0F;
🚸,交差点を渡る子供たち,&#8265;,&#x1F6B8;
🔱,トライデント,&#128305;,&#x1F531;
⚜️,ユリの紋章,&#9884;&#65039;,&#x269C;&#xFE0F;
🔰,初心者マーク,&#128304;,&#x1F530;
♻️,リサイクルマーク,&#9851;&#65039;,&#x267B;&#xFE0F;
✅,白い太字のチェックマーク check 完了 OK,&#9989;,&#x2705;
🈯,四角囲み指,&#127535;,&#x1F22F;
💹,上昇トレンドのチャートと円記号,&#128185;,&#x1F4B9;
❇️,キラキラ,&#10055;&#65039;,&#x2747;&#xFE0F;
✳️,アスタリスク（8本構成）,&#10035;&#65039;,&#x2733;&#xFE0F;
❎,四角で囲まれたバツ印,&#10062;,&#x274E;
🌐,子午線・経線のある地球,&#127760;,&#x1F310;
💠,ドット模様のダイヤ,&#128160;,&#x1F4A0;
Ⓜ️,地下鉄（Metro）,&#9410;&#65039;,&#x24C2;&#xFE0F;
🌀,サイクロン,&#127744;,&#x1F300;
💤,睡眠,&#128164;,&#x1F4A4;
🏧,ATM,&#127975;,&#x1F3E7;
🚾,トイレ,&#128702;,&#x1F6BE;
♿,車いす,&#9855;,&#x267F;
🅿️,黒四角囲みP,&#127359;&#65039;,&#x1F17F;&#xFE0F;
🛗,エレベーター,&#128727;,&#x1F6D7;
🈳,四角囲み空,&#127539;,&#x1F233;
🈂️,四角囲みサ,&#127490;&#65039;,&#x1F202;&#xFE0F;
🛂,入国審査,&#128706;,&#x1F6C2;
🛃,税関,&#128707;,&#x1F6C3;
🛄,手荷物受取所,&#128708;,&#x1F6C4;
🛅,手荷物預かり所,&#128709;,&#x1F6C5;
🛜,無線,&#128732;,&#x1F6DC;
🚹,男性の記号,&#128697;,&#x1F6B9;
🚺,女性の記号,&#128698;,&#x1F6BA;
🚼,赤ちゃんマーク,&#128700;,&#x1F6BC;
⚧️,トランスジェンダーサイン,&#9895;&#65039;,&#x26A7;&#xFE0F;
🚻,トイレ,&#128699;,&#x1F6BB;
🚮,ゴミ捨て場,&#128686;,&#x1F6AE;
🎦,映画,&#127910;,&#x1F3A6;
📶,アンテナ,&#128246;,&#x1F4F6;
🈁,四角囲みココ,&#127489;,&#x1F201;
🔣,記号入力,&#128291;,&#x1F523;
ℹ️,情報源,&#8505;&#65039;,&#x2139;&#xFE0F;
🔤,アルファベット入力,&#128292;,&#x1F524;
🔡,アルファベット小文字入力,&#128289;,&#x1F521;
🔠,アルファベット大文字入力,&#128288;,&#x1F520;
🆖,四角囲みNG,&#127382;,&#x1F196;
🆗,四角囲みOK,&#127383;,&#x1F197;
🆙,四角囲みUP!,&#127385;,&#x1F199;
🆒,COOL,&#127378;,&#x1F192;
🆕,四角囲みnew,&#127381;,&#x1F195;
🆓,四角囲みFREE,&#127379;,&#x1F193;
0️⃣,0キー,&#48;&#65039;&#8419;,&#x30;&#xFE0F;&#x20E3;
1️⃣,1キー,&#49;&#65039;&#8419;,&#x31;&#xFE0F;&#x20E3;
2️⃣,2キー,&#50;&#65039;&#8419;,&#x32;&#xFE0F;&#x20E3;
3️⃣,3キー,&#51;&#65039;&#8419;,&#x33;&#xFE0F;&#x20E3;
4️⃣,4キー,&#52;&#65039;&#8419;,&#x34;&#xFE0F;&#x20E3;
5️⃣,5キー,&#53;&#65039;&#8419;,&#x35;&#xFE0F;&#x20E3;
6️⃣,6キー,&#54;&#65039;&#8419;,&#x36;&#xFE0F;&#x20E3;
7️⃣,7キー,&#55;&#65039;&#8419;,&#x37;&#xFE0F;&#x20E3;
8️⃣,8キー,&#56;&#65039;&#8419;,&#x38;&#xFE0F;&#x20E3;
⏏️,取り出しキー,&#9167;&#65039;,&#x23CF;&#xFE0F;
▶️,右向き三角,&#9654;&#65039;,&#x25B6;&#xFE0F;
⏸️,2本の垂直バー,&#9208;&#65039;,&#x23F8;&#xFE0F;
⏯️,右向きの三角形と二本垂直棒,&#9199;&#65039;,&#x23EF;&#xFE0F;
⏹️,停止,&#9209;&#65039;,&#x23F9;&#xFE0F;
⏺️,録画,&#9210;&#65039;,&#x23FA;&#xFE0F;
⏭️,右向きの二重三角形と垂直棒,&#9197;&#65039;,&#x23ED;&#xFE0F;
⏮️,左向きの二重三角形と垂直棒,&#9198;&#65039;,&#x23EE;&#xFE0F;
⏩,右向きの二重三角形,&#9193;,&#x23E9;
⏪,左向きの二重三角形,&#9194;,&#x23EA;
⏫,上向きの二重三角形,&#9195;,&#x23EB;
⏬,下向きの二重三角形,&#9196;,&#x23EC;
◀️,左向きの三角形,&#9664;&#65039;,&#x25C0;&#xFE0F;
🔼,上向きの三角形,&#128316;,&#x1F53C;
🔽,下向きの三角形,&#128317;,&#x1F53D;
➡️,右向き矢印,&#10145;&#65039;,&#x27A1;&#xFE0F;
⬅️,左向き矢印,&#11013;&#65039;,&#x2B05;&#xFE0F;
⬆️,上向き矢印,&#11014;&#65039;,&#x2B06;&#xFE0F;
⬇️,下向き矢印,&#11015;&#65039;,&#x2B07;&#xFE0F;
↗️,右上矢印,&#8599;&#65039;,&#x2197;&#xFE0F;
↘️,右下矢印,&#8600;&#65039;,&#x2198;&#xFE0F;
↙️,左下矢印,&#8601;&#65039;,&#x2199;&#xFE0F;
↖️,左上矢印,&#8598;&#65039;,&#x2196;&#xFE0F;
↕️,上下矢印,&#8597;&#65039;,&#x2195;&#xFE0F;
↔️,左右矢印,&#8596;&#65039;,&#x2194;&#xFE0F;
↪️,右向き段付き矢印,&#8618;&#65039;,&#x21AA;&#xFE0F;
↩️,左向き段付き矢印,&#8617;&#65039;,&#x21A9;&#xFE0F;
⤴️,右上へカーブする矢印,&#10548;&#65039;,&#x2934;&#xFE0F;
⤵️,右下へカーブする矢印,&#x2935;&#65039;,&#x2935;&#xFE0F;
🔀,ねじり右向き矢印の絵文字,&#128256;,&#x1F500;
🔁,リピート,&#128257;,&#x1F501;
🔂,1曲をリピート再生,&#128258;,&#x1F502;
🔄,うずまき矢印,&#128260;,&#x1F504;
🔃,ループ矢印,&#128259;,&#x1F503;
🎵,音符,&#127925;,&#x1F3B5;
🎶,複数の音符,&#127926;,&#x1F3B6;
➕,太字の+記号,&#10133;,&#x2795;
➖,太字のマイナス記号,&#10134;,&#x2796;
➗,太字の÷記号,&#10135;,&#x2797;
✖️,太字の×記号,&#10006;&#65039;,&#x2716;&#xFE0F;
🟰,太い等号,&#129008;,&#x1F7F0;
♾️,無限,&#9854;&#65039;,&#x267E;&#xFE0F;
💲,太字のドル記号,&#128178;,&#x1F4B2;
💱,外貨両替,&#128177;,&#x1F4B1;
™️,商標マーク,&#8482;&#65039;,&#x2122;&#xFE0F;
©️,コピーライトマーク,&#169;&#65039;,&#xA9;&#xFE0F;
®️,登録商標マーク,&#174;&#65039;,&#xAE;&#xFE0F;
👁️‍🗨️,吹き出しの目,&#128065;&#65039;&#8205;&#128488;&#65039;,&#x1F441;&#xFE0F;&#x200D;&#x1F5E8;&#xFE0F;
🔚,ENDと左矢印,&#128282;,&#x1F51A;
🔙,BACKと左矢印,&#128281;,&#x1F519;
🔛,ON!と左右矢印,&#128283;,&#x1F51B;
🔝,TOPと上矢印,&#128285;,&#x1F51D;
🔜,SOONと右矢印,&#128284;,&#x1F51C;
〰️,波線,&#12336;&#65039;,&#x3030;&#xFE0F;
➰,カール状のループ,&#10160;,&#x27B0;
➿,二重のカール状のループ,&#10175;,&#x27BF;
✔️,太字のチェックマーク check 完了 OK,&#10004;&#65039;,&#x2714;&#xFE0F;
☑️,チェック入りチェックボックス check 完了 OK,&#9745;&#65039;,&#x2611;&#xFE0F;
🔘,ラジオボタン,&#128280;,&#x1F518;
🔴,赤丸,&#128308;,&#x1F534;
🟠,オレンジ色の円,&#128992;,&#x1F7E0;
🟡,黄色の丸,&#128993;,&#x1F7E1;
🟢,緑丸,&#128994;,&#x1F7E2;
🔵,青丸,&#128309;,&#x1F535;
🟣,紫の丸,&#128995;,&#x1F7E3;
⚫,黒丸,&#9899;,&#x26AB;
⚪,白丸,&#9898;,&#x26AA;
🟤,茶色の丸,&#128996;,&#x1F7E4;
🔺,上向きの赤い三角形,&#128314;,&#x1F53A;
🔻,下向きの三角形,&#128315;,&#x1F53B;
🔸,小さいオレンジのダイヤモンド,&#128312;,&#x1F538;
🔹,小さくて青いダイヤモンド,&#128313;,&#x1F539;
🔶,大きいオレンジのダイヤ,&#128310;,&#x1F536;
🔷,大きくて青いダイヤモンド,&#128311;,&#x1F537;
🔳,白い四角ボタン,&#128307;,&#x1F533;
🔲,黒い四角ボタン,&#128306;,&#x1F532;
▪️,黒い小さな四角,&#9642;&#65039;,&#x25AA;&#xFE0F;
▫️,白い小さな四角,&#9643;&#65039;,&#x25AB;&#xFE0F;
◾,黒くて中くらいの小さい四角,&#9726;,&#x25FE;
◽,白い中くらいの小さな四角,&#9725;,&#x25FD;
◼️,黒い中くらいの四角,&#9724;&#65039;,&#x25FC;&#xFE0F;
◻️,白くて中くらいの四角,&#9723;&#65039;,&#x25FB;&#xFE0F;
🟥,赤の正方形,&#128997;,&#x1F7E5;
🟧,オレンジ色の正方形,&#128999;,&#x1F7E7;
🟨,黄色の正方形,&#129000;,&#x1F7E8;
🟩,緑の正方形,&#129001;,&#x1F7E9;
🟦,青の正方形,&#128998;,&#x1F7E6;
🟪,紫の正方形,&#129002;,&#x1F7EA;
⬛,黒い大きな四角,&#11035;,&#x2B1B;
⬜,白い大きな四角,&#11036;,&#x2B1C;
🟫,茶色の正方形,&#129003;,&#x1F7EB;
🔈,スピーカー,&#128264;,&#x1F508;
🔇,無音のスピーカー,&#128263;,&#x1F507;
🔉,音量小,&#128265;,&#x1F509;
🔊,音量大,&#128266;,&#x1F50A;
🔔,ベル,&#128276;,&#x1F514;
🔕,ミュート,&#128277;,&#x1F515;
📣,メガホン,&#128227;,&#x1F4E3;
📢,拡声器,&#128226;,&#x1F4E2;
💬,吹き出し,&#128172;,&#x1F4AC;
💭,考え吹き出し,&#128173;,&#x1F4AD;
🗯️,右向きの怒りの吹き出し,&#128495;&#65039;,&#x1F5EF;&#xFE0F;
♠️,トランプのスペード,&#9824;&#65039;,&#x2660;&#xFE0F;
♣️,トランプのクラブ,&#9827;&#65039;,&#x2663;&#xFE0F;
♥️,トランプのハート heart 恋 愛 好き,&#9829;&#65039;,&#x2665;&#xFE0F;
♦️,トランプのダイヤ,&#9830;&#65039;,&#x2666;&#xFE0F;
🃏,トランプのジョーカー,&#127183;,&#x1F0CF;
🎴,花札,&#127924;,&#x1F3B4;
🀄,麻雀牌の中,&#126980;,&#x1F004;
🕐,1時,&#128336;,&#x1F550;
🕑,2時,&#128337;,&#x1F551;
🕒,3時,&#128338;,&#x1F552;
🕓,4時,&#128339;,&#x1F553;
🕔,5時,&#128340;,&#x1F554;
🕕,6時,&#128341;,&#x1F555;
🕖,7時,&#128342;,&#x1F556;
🕗,8時,&#128343;,&#x1F557;
🕘,9時,&#128344;,&#x1F558;
🕙,10時,&#128345;,&#x1F559;
🕚,11時,&#128346;,&#x1F55A;
🕛,12時,&#128347;,&#x1F55B;
🕜,1時半,&#128348;,&#x1F55C;
🕝,2時半,&#128349;,&#x1F55D;
🕞,3時半,&#128350;,&#x1F55E;
🕟,4時半,&#128351;,&#x1F55F;
🕠,5時半,&#128352;,&#x1F560;
🕡,6時半,&#128353;,&#x1F561;
🕢,7時半,&#128354;,&#x1F562;
🕣,8時半,&#128355;,&#x1F563;
🕤,9時半,&#128356;,&#x1F564;
🕥,10時半,&#128357;,&#x1F565;
🕦,11時半,&#128358;,&#x1F566;
🕧,12時半,&#128359;,&#x1F567;
😀,にやにやした顔,&#128512;,&#x1F600;
😃,口を開けた笑顔,&#128515;,&#x1F603;
😄,口を開けて目が笑っている顔,&#128516;,&#x1F604;
😁,にやにやした顔,&#128513;,&#x1F601;
😆,口を開けて笑っている顔,&#128518;,&#x1F606;
🥹,涙をこらえている顔,&#129401;,&#x1F979;
😅,口を開けて冷や汗をかいた顔,&#128517;,&#x1F605;
😂,嬉し泣き,&#128514;,&#x1F602;
🤣,大爆笑,&#129315;,&#x1F923;
🥲,涙の出ている笑顔,&#129394;,&#x1F972;
☺,笑顔,&#9786;,&#x263A;
😊,目が笑っている笑顔,&#128522;,&#x1F60A;
