記号,検索ワード,10進法,16進法
🐦‍⬛,黒い鳥,&#128038;&#8205;&#11035;,&#x1F426;&#x200D;&#x2B1B;
🦅,ワシ,&#129413;,&#x1F985;
🦉,フクロウ,&#129417;,&#x1F989;
🦇,コウモリ,&#129415;,&#x1F987;
🐺,オオカミの顔,&#128058;,&#x1F43A;
🐗,イノシシ,&#128023;,&#x1F417;
🐴,ウマの顔,&#128052;,&#x1F434;
🦄,ユニコーンの顔,&#129412;,&#x1F984;
🫎,ヘラジカ,&#129742;,&#x1FACE;
🐝,ミツバチ,&#128029;,&#x1F41D;
🪱,蠕虫,&#129713;,&#x1FAB1;
🐛,虫,&#128027;,&#x1F41B;
🦋,チョウ,&#129419;,&#x1F98B;
🐌,カタツムリ,&#128012;,&#x1F40C;
🐞,テントウムシ,&#128030;,&#x1F41E;
🐜,アリ,&#128028;,&#x1F41C;
🪰,ハエ,&#129712;,&#x1FAB0;
🪲,甲虫,&#129714;,&#x1FAB2;
🪳,ゴキブリ,&#129715;,&#x1FAB3;
🦟,蚊,&#129439;,&#x1F99F;
🦗,クリケット,&#129431;,&#x1F997;
🕷,クモ,&#128375;,&#x1F577;
🕸,クモの巣,&#128376;,&#x1F578;
🦂,サソリ,&#129410;,&#x1F982;
🐢,カメ,&#128034;,&#x1F422;
🐍,ヘビ,&#128013;,&#x1F40D;
🦎,トカゲ,&#129422;,&#x1F98E;
🦖,ティラノサウルス,&#129430;,&#x1F996;
🦕,竜脚類,&#129429;,&#x1F995;
🐙,タコ,&#128025;,&#x1F419;
🦑,イカ,&#129425;,&#x1F991;
🪼,クラゲ,&#129724;,&#x1FABC;
🦐,エビ,&#129424;,&#x1F990;
🦞,ロブスター star ほし,&#129438;,&#x1F99E;
🦀,カニ,&#129408;,&#x1F980;
🐡,フグ,&#128033;,&#x1F421;
🐠,熱帯魚,&#128032;,&#x1F420;
🐟,魚,&#128031;,&#x1F41F;
🐬,イルカ,&#128044;,&#x1F42C;
🐳,潮吹きクジラ,&#128051;,&#x1F433;
🐋,クジラ,&#128011;,&#x1F40B;
🦈,サメ,&#129416;,&#x1F988;
🦭,アザラシ,&#129453;,&#x1F9AD;
🐊,ワニ,&#128010;,&#x1F40A;
🐅,トラ,&#128005;,&#x1F405;
🐆,ヒョウ,&#128006;,&#x1F406;
🦓,シマウマ,&#129427;,&#x1F993;
🦍,ゴリラ,&#129421;,&#x1F98D;
🦧,オランウータン,&#129447;,&#x1F9A7;
🦣,マンモス,&#129443;,&#x1F9A3;
🐘,ゾウ,&#128024;,&#x1F418;
🦛,カバ,&#129435;,&#x1F99B;
🦏,サイ,&#129423;,&#x1F98F;
🐪,ヒトコブラクダ,&#128042;,&#x1F42A;
🐫,フタコブラクダ,&#128043;,&#x1F42B;
🦒,キリン,&#129426;,&#x1F992;
🦘,カンガルー,&#129432;,&#x1F998;
🦬,バイソン,&#129452;,&#x1F9AC;
🐃,スイギュウ,&#128003;,&#x1F403;
🐂,雄牛,&#128002;,&#x1F402;
🐄,ウシ,&#128004;,&#x1F404;
🫏,ロバ,&#129743;,&#x1FACF;
🐎,馬,&#128014;,&#x1F40E;
🐖,ブタ,&#128022;,&#x1F416;
🐏,仔羊,&#128015;,&#x1F40F;
🐑,ヒツジ,&#128017;,&#x1F411;
🦙,ラマ,&#129433;,&#x1F999;
🐐,ヤギ,&#128016;,&#x1F410;
🦌,シカ,&#129420;,&#x1F98C;
🐕,イヌ,&#128021;,&#x1F415;
🐩,プードル,&#128041;,&#x1F429;
🦮,盲導犬,&#129454;,&#x1F9AE;
🐕‍🦺,介助犬,&#128021;&#8205;&#129466;,&#x1F415;&#x200D;&#x1F9BA;
🐈,ネコ,&#128008;,&#x1F408;
🐈‍⬛,黒猫,&#128008;&#8205;&#11035;,&#x1F408;&#x200D;&#x2B1B;
🪶,羽毛,&#129718;,&#x1FAB6;
🪽,羽,&#129725;,&#x1FABD;
🐓,おんどり,&#128019;,&#x1F413;
🦃,七面鳥（鳥）,&#129411;,&#x1F983;
🦤,ドードー,&#129444;,&#x1F9A4;
🦚,オスのクジャク,&#129434;,&#x1F99A;
🦜,オウム,&#129436;,&#x1F99C;
🦢,白鳥,&#129442;,&#x1F9A2;
🦩,フラミンゴ,&#129449;,&#x1F9A9;
🕊,平和の鳩,&#128330;,&#x1F54A;
🐇,ウサギ,&#128007;,&#x1F407;
🦝,アライグマ,&#129437;,&#x1F99D;
🦨,スカンク,&#129448;,&#x1F9A8;
🦡,アナグマ,&#129441;,&#x1F9A1;
🦫,ビーバー,&#129451;,&#x1F9AB;
🦦,カワウソ,&#129446;,&#x1F9A6;
🦥,怠惰,&#129445;,&#x1F9A5;
🐁,ネズミ,&#128001;,&#x1F401;
🐀,ネズミ,&#128000;,&#x1F400;
🐿,シマリス,&#128063;,&#x1F43F;
🦔,ハリネズミ,&#129428;,&#x1F994;
🐾,動物の足あと,&#128062;,&#x1F43E;
🐉,ドラゴン,&#128009;,&#x1F409;
🐲,ドラゴンの顔,&#128050;,&#x1F432;
🌵,サボテン,&#127797;,&#x1F335;
🎄,クリスマスツリー,&#127876;,&#x1F384;
🌲,常緑樹,&#127794;,&#x1F332;
🌳,落葉樹,&#127795;,&#x1F333;
🌴,ヤシの木,&#127796;,&#x1F334;
🪾,葉のない木,&#129726;,&#x1FABE;
🪵,木材,&#129717;,&#x1FAB5;
🌱,苗木,&#127793;,&#x1F331;
🌿,ハーブ,&#127807;,&#x1F33F;
☘,クローバー,&#9752;,&#x2618;
🍀,四つ葉のクローバー,&#127808;,&#x1F340;
🎍,門松,&#127885;,&#x1F38D;
🪴,鉢植え,&#129716;,&#x1FAB4;
🎋,七夕,&#127883;,&#x1F38B;
🍃,風になびく葉,&#127811;,&#x1F343;
🍂,落ち葉,&#127810;,&#x1F342;
🍁,カエデの葉,&#127809;,&#x1F341;
🪺,卵のある巣,&#129722;,&#x1FABA;
🪹,空の巣,&#129721;,&#x1FAB9;
🍄,キノコ,&#127812;,&#x1F344;
🐚,巻き貝,&#128026;,&#x1F41A;
🪸,サンゴ,&#129720;,&#x1FAB8;
🪨,ロック,&#129704;,&#x1FAA8;
🌾,稲穂,&#127806;,&#x1F33E;
💐,花束,&#128144;,&#x1F490;
🌷,チューリップ,&#127799;,&#x1F337;
🌹,バラ,&#127801;,&#x1F339;
🥀,しおれた花,&#129344;,&#x1F940;
🪻,ヒアシンス,&#129723;,&#x1FABB;
🪷,ハス,&#129719;,&#x1FAB7;
🌺,ハイビスカス,&#127802;,&#x1F33A;
🌸,桜,&#127800;,&#x1F338;
🌼,花,&#127804;,&#x1F33C;
🌻,ヒマワリ,&#127803;,&#x1F33B;
🌞,顔つき太陽,&#127774;,&#x1F31E;
🌝,顔つき満月,&#127773;,&#x1F31D;
🌛,顔つき上弦の月,&#127771;,&#x1F31B;
🌜,顔がある下弦の月,&#127772;,&#x1F31C;
🌚,顔つき新月,&#127770;,&#x1F31A;
🌕,満月,&#127765;,&#x1F315;
🌖,寝待月,&#127766;,&#x1F316;
🌗,下弦の月,&#127767;,&#x1F317;
🌘,欠けていく三日月,&#127768;,&#x1F318;
🌑,新月,&#127761;,&#x1F311;
🌒,満ちていく三日月,&#127762;,&#x1F312;
🌓,上弦の月,&#127763;,&#x1F313;
🌔,十三夜月,&#127764;,&#x1F314;
🌙,三日月,&#127769;,&#x1F319;
🌎,アメリカ大陸,&#127758;,&#x1F30E;
🌍,ヨーロッパとアフリカ地域,&#127757;,&#x1F30D;
🌏,アジアとオーストラリア,&#127759;,&#x1F30F;
🪐,環のある惑星 star ほし,&#129680;,&#x1FA90;
💫,くらくら,&#128171;,&#x1F4AB;
⭐,中くらいの星 star ほし,&#11088;,&#x2B50;
🌟,光る星 star ほし,&#127775;,&#x1F31F;
✨,キラキラ,&#10024;,&#x2728;
⚡,高電圧記号,&#9889;,&#x26A1;
☄,彗星 star ほし,&#9732;,&#x2604;
💥,衝突マーク,&#128165;,&#x1F4A5;
🔥,炎 fire ほのお 燃える,&#128293;,&#x1F525;
🌪,竜巻雲,&#127786;,&#x1F32A;
🌈,虹,&#127752;,&#x1F308;
☀,太陽の光,&#9728;,&#x2600;
🌤,太陽と小さな雲,&#127780;,&#x1F324;
⛅,晴れ時々曇り,&#9925;,&#x26C5;
🌥,晴れのち曇り,&#127781;,&#x1F325;
☁,雲,&#9729;,&#x2601;
🌦,晴れのち曇り時々雨,&#127782;,&#x1F326;
🌧,雨雲,&#127783;,&#x1F327;
⛈,雷雨,&#9928;,&#x26C8;
🌩,雷雲,&#127785;,&#x1F329;
🌨,雪雲,&#127784;,&#x1F328;
❄,雪の結晶,&#10052;,&#x2744;
☃,雪だるま,&#9731;,&#x2603;
⛄,雪だるま,&#9924;,&#x26C4;
🌬,風が吹いている,&#127788;,&#x1F32C;
💨,ダッシュ,&#128168;,&#x1F4A8;
💧,雫,&#128167;,&#x1F4A7;
💦,汗マーク,&#128166;,&#x1F4A6;
🫧,バブル,&#129767;,&#x1FAE7;
☔,雨と傘,&#9748;,&#x2614;
☂,傘,&#9730;,&#x2602;
🌊,波,&#127754;,&#x1F30A;
🌫,霧,&#127787;,&#x1F32B;
🍏,青りんご,&#127823;,&#x1F34F;
🍎,赤いりんご,&#127822;,&#x1F34E;
🍐,梨,&#127824;,&#x1F350;
🍊,みかん,&#127818;,&#x1F34A;
🍋,レモン,&#127819;,&#x1F34B;
🍌,バナナ,&#127820;,&#x1F34C;
🍉,スイカ,&#127817;,&#x1F349;
🍇,ブドウ,&#127815;,&#x1F347;
🍓,イチゴ,&#127827;,&#x1F353;
🫐,ブルーベリー,&#129744;,&#x1FAD0;
🍈,メロン,&#127816;,&#x1F348;
🍒,さくらんぼ,&#127826;,&#x1F352;
🍑,桃,&#127825;,&#x1F351;
🥭,マンゴー,&#129389;,&#x1F96D;
🍍,パイナップル,&#127821;,&#x1F34D;
🥥,ココナッツ,&#129381;,&#x1F965;
🥝,キウイフルーツ,&#129373;,&#x1F95D;
🍅,トマト,&#127813;,&#x1F345;
🍆,ナス,&#127814;,&#x1F346;
🥑,アボカド,&#129361;,&#x1F951;
🫛,エンドウ豆のさや,&#129755;,&#x1FADB;
🥦,ブロッコリー,&#129382;,&#x1F966;
🥬,葉っぱの緑,&#129388;,&#x1F96C;
🥒,キュウリ,&#129362;,&#x1F952;
🌶,トウガラシ,&#127798;,&#x1F336;
🫑,ピーマン,&#129745;,&#x1FAD1;
🌽,トウモロコシ,&#127805;,&#x1F33D;
🥕,ニンジン,&#129365;,&#x1F955;
🫒,オリーブ,&#129746;,&#x1FAD2;
🧄,にんにく,&#129476;,&#x1F9C4;
🧅,玉ねぎ,&#129477;,&#x1F9C5;
🥔,ジャガイモ,&#129364;,&#x1F954;
🫜,根菜,&#129756;,&#x1FADC;
🍠,焼き芋,&#127840;,&#x1F360;
🫚,ショウガ,&#129754;,&#x1FADA;
🥐,クロワッサン,&#129360;,&#x1F950;
🥯,ベーグル,&#129391;,&#x1F96F;
🍞,パン,&#127838;,&#x1F35E;
🥖,フランスパン,&#129366;,&#x1F956;
🥨,プレッツェル,&#129384;,&#x1F968;
🧀,チーズ,&#129472;,&#x1F9C0;
🥚,卵,&#129370;,&#x1F95A;
🍳,料理,&#127859;,&#x1F373;
🧈,バター,&#129480;,&#x1F9C8;
🥞,パンケーキ,&#129374;,&#x1F95E;
🧇,ワッフル 無駄口,&#129479;,&#x1F9C7;
🥓,ベーコン,&#129363;,&#x1F953;
🥩,一切れの肉,&#129385;,&#x1F969;
🍗,ターキー,&#127831;,&#x1F357;
🍖,骨付き肉,&#127830;,&#x1F356;
🦴,骨,&#129460;,&#x1F9B4;
🌭,ホットドッグ,&#128539;,&#x1F32D;
🍔,ハンバーガー,&#127828;,&#x1F354;
🍟,フライドポテト,&#127839;,&#x1F35F;
🍕,ピザ,&#127829;,&#x1F355;
🫓,フラットブレッド,&#129747;,&#x1FAD3;
🥪,サンドウィッチ,&#129386;,&#x1F96A;
🥙,フラットブレッドサンド,&#129369;,&#x1F959;
🧆,ファラフェル,&#129478;,&#x1F9C6;
🌮,タコス,&#127790;,&#x1F32E;
🌯,ブリトー,&#127791;,&#x1F32F;
🫔,タマーレ,&#129748;,&#x1FAD4;
🥗,グリーンサラダ,&#129367;,&#x1F957;
🥘,パエリア,&#129368;,&#x1F958;
🫕,フォンデュ,&#129749;,&#x1FAD5;
🥫,缶詰,&#129387;,&#x1F96B;
🫙,瓶,&#129753;,&#x1FAD9;
🍝,スパゲッティ,&#127837;,&#x1F35D;
🍜,どんぶり,&#127836;,&#x1F35C;
🍲,なべ,&#127858;,&#x1F372;
🍛,カレーライス,&#127835;,&#x1F35B;
🍣,寿司,&#127843;,&#x1F363;
🍱,弁当箱,&#127857;,&#x1F371;
🥟,餃子,&#129375;,&#x1F95F;
🦪,カキ,&#129450;,&#x1F9AA;
🍤,エビフライ,&#127844;,&#x1F364;
🍙,おにぎり,&#127833;,&#x1F359;
🍚,ごはん,&#127834;,&#x1F35A;
🍘,せんべい,&#127832;,&#x1F358;
🍥,なると,&#127845;,&#x1F365;
🥠,おみくじ入りクッキー,&#129376;,&#x1F960;
🥮,月餅,&#129390;,&#x1F96E;
🍢,おでん,&#127842;,&#x1F362;
🍡,団子,&#127841;,&#x1F361;
🍧,かき氷,&#127847;,&#x1F367;
🍨,アイスクリーム,&#127848;,&#x1F368;
🍦,ソフトクリーム,&#127846;,&#x1F366;
🥧,パイ,&#129383;,&#x1F967;
🧁,カップケーキ,&#129473;,&#x1F9C1;
🍰,ショートケーキ,&#127856;,&#x1F370;
🎂,バースデーケーキ,&#127874;,&#x1F382;
🍮,カスタード star ほし,&#127854;,&#x1F36E;
🍭,ペロペロキャンディー,&#127853;,&#x1F36D;
🍬,アメ,&#127852;,&#x1F36C;
🍫,チョコレート,&#127851;,&#x1F36B;
🍿,ポップコーン,&#127871;,&#x1F37F;
🍩,ドーナツ,&#127849;,&#x1F369;
🍪,クッキー,&#127850;,&#x1F36A;
🌰,栗,&#127792;,&#x1F330;
🥜,ピーナッツ,&#129372;,&#x1F95C;
🫘,豆,&#129752;,&#x1FAD8;
🍯,ハニーポット,&#127855;,&#x1F36F;
🥛,コップに入った牛乳,&#129371;,&#x1F95B;
🫗,流れ込む液体,&#129751;,&#x1FAD7;
🍼,哺乳瓶,&#127868;,&#x1F37C;
🫖,ティーポット,&#129750;,&#x1FAD6;
☕,ホットドリンク,&#9749;,&#x2615;
🍵,湯のみ,&#127861;,&#x1F375;
🧃,飲料ボックス,&#129475;,&#x1F9C3;
🥤,カップとストロー,&#129380;,&#x1F964;
🧋,タピオカティー,&#129483;,&#x1F9CB;
🍶,とっくりとおちょこ,&#127862;,&#x1F376;
🍺,ビール,&#127866;,&#x1F37A;
🍻,乾杯,&#127867;,&#x1F37B;
🥂,グラスで乾杯,&#129346;,&#x1F942;
🍷,ワイングラス,&#127863;,&#x1F377;
🥃,タンブラー,&#129347;,&#x1F943;
🍸,カクテルグラス,&#127864;,&#x1F378;
🍹,トロピカルドリンク,&#127865;,&#x1F379;
🧉,マテ,&#129481;,&#x1F9C9;
🍾,瓶と飛び出す栓,&#127870;,&#x1F37E;
🧊,角氷,&#129482;,&#x1F9CA;
🥄,スプーン,&#129348;,&#x1F944;
🍴,フォークとナイフ,&#127860;,&#x1F374;
🍽,フォークとナイフとプレート,&#128539;,&#x1F37D;
🥣,ボウルとスプーン,&#129379;,&#x1F963;
🥡,テイクアウトボックス,&#129377;,&#x1F961;
🥢,箸,&#129378;,&#x1F962;
🧂,塩,&#129474;,&#x1F9C2;
⚽,サッカーボール,&#9917;,&#x26BD;
🏀,バスケットボール,&#127936;,&#x1F3C0;
🏈,アメリカンフットボール,&#127944;,&#x1F3C8;
⚾,野球,&#9918;,&#x26BE;
🥎,ソフトボール,&#129358;,&#x1F94E;
🎾,テニスボール,&#127934;,&#x1F3BE;
🏐,バレーボール,&#127952;,&#x1F3D0;
🏉,ラグビー,&#127945;,&#x1F3C9;
🥏,空飛ぶ円盤,&#129359;,&#x1F94F;
🎱,ビリヤード,&#127921;,&#x1F3B1;
🪀,ヨーヨー,&#129664;,&#x1FA80;
🏓,卓球のラケットとボール,&#127955;,&#x1F3D3;
🏸,バドミントンのラケットとシャトル,&#127992;,&#x1F3F8;
🏒,アイスホッケーのスティックとパック,&#127954;,&#x1F3D2;
🏑,フィールドホッケーのスティックとボール,&#127953;,&#x1F3D1;
🥍,ラクロス,&#129357;,&#x1F94D;
🏏,クリケットのバットとボール,&#127951;,&#x1F3CF;
🪃,ブーメラン,&#129667;,&#x1FA83;
🥅,ゴールネット,&#129349;,&#x1F945;
⛳,ゴルフのカップ,&#9971;,&#x26F3;
🪁,凧,&#129665;,&#x1FA81;
🛝,滑り台,&#128733;,&#x1F6DD;
🏹,弓矢,&#127993;,&#x1F3F9;
🎣,釣竿と魚,&#127907;,&#x1F3A3;
🤿,ダイビングマスク,&#129343;,&#x1F93F;
🥊,ボクシンググローブ,&#129354;,&#x1F94A;
🥋,道着,&#129355;,&#x1F94B;
🎽,ランニングシャツと襷,&#127933;,&#x1F3BD;
🛹,スケボー,&#128761;,&#x1F6F9;
🛼,ローラースケート,&#128764;,&#x1F6FC;
🛷,そり,&#128759;,&#x1F6F7;
⛸️,アイススケート,&#9976;&#65039;,&#x26F8;&#xFE0F;
🥌,カーリングストーン,&#129356;,&#x1F94C;
🎿,スキーとスキーブーツ,&#127935;,&#x1F3BF;
⛷️,スキー,&#9975;&#65039;,&#x26F7;&#xFE0F;
🏂,スノーボーダー,&#127938;,&#x1F3C2;
🪂,パラシュート,&#129666;,&#x1FA82;
🏋️‍♀️,ウエイトを持ち上げる女性,&#127947;&#65039;&#8205;&#9792;&#65039;,&#x1F3CB;&#xFE0F;&#x200D;&#x2640;&#xFE0F;
🏋️,ウエイトを持ち上げる人,&#127947;&#65039;,&#x1F3CB;&#xFE0F;
🏋️‍♂️,ウエイトを持ち上げる男性,&#127947;&#65039;&#8205;&#9794;&#65039;,&#x1F3CB;&#xFE0F;&#x200D;&#x2642;&#xFE0F;
🤼‍♀️,レスリングをする女性,&#129340;&#8205;&#9792;&#65039;,&#x1F93C;&#x200D;&#x2640;&#xFE0F;
🤼,レスリングをする人たち,&#129340;,&#x1F93C;
🤼‍♂️,レスリングをする男性,&#129340;&#8205;&#9794;&#65039;,&#x1F93C;&#x200D;&#x2642;&#xFE0F;
🤸‍♀️,側転をする女性,&#129336;&#8205;&#9792;&#65039;,&#x1F938;&#x200D;&#x2640;&#xFE0F;
🤸,側転をする人,&#129336;,&#x1F938;
🤸‍♂️,側転をする男性,&#129336;&#8205;&#9794;&#65039;,&#x1F938;&#x200D;&#x2642;&#xFE0F;
⛹️‍♀️,ボールをバウンドさせる女性,&#9977;&#65039;&#8205;&#9792;&#65039;,&#x26F9;&#xFE0F;&#x200D;&#x2640;&#xFE0F;
⛹️,ボールをバウンドさせる人,&#9977;&#65039;,&#x26F9;&#xFE0F;
⛹️‍♂️,ボールをバウンドさせる男性,&#9977;&#65039;&#8205;&#9794;&#65039;,&#x26F9;&#xFE0F;&#x200D;&#x2642;&#xFE0F;
🤺,フェンシングをする人,&#129338;,&#x1F93A;
🤾‍♀️,ハンドボールをする女性,&#129342;&#8205;&#9792;&#65039;,&#x1F93E;&#x200D;&#x2640;&#xFE0F;
🤾,ハンドボールをする人,&#129342;,&#x1F93E;
🤾‍♂️,ハンドボールをする男性,&#129342;&#8205;&#9794;&#65039;,&#x1F93E;&#x200D;&#x2642;&#xFE0F;
🏌️‍♀️,ゴルフをする女性,&#127948;&#65039;&#8205;&#9792;&#65039;,&#x1F3CC;&#xFE0F;&#x200D;&#x2640;&#xFE0F;
🏌️,ゴルフをする人,&#127948;&#65039;,&#x1F3CC;&#xFE0F;
🏌️‍♂️,ゴルフをする男性,&#127948;&#65039;&#8205;&#9794;&#65039;,&#x1F3CC;&#xFE0F;&#x200D;&#x2642;&#xFE0F;
🏇,競馬,&#127943;,&#x1F3C7;
🧘‍♀️,蓮華座の女性,&#129496;&#8205;&#9792;&#65039;,&#x1F9D8;&#x200D;&#x2640;&#xFE0F;
🧘,蓮華座の人,&#129496;,&#x1F9D8;
🧘‍♂️,蓮華座の男性,&#129496;&#8205;&#9794;&#65039;,&#x1F9D8;&#x200D;&#x2642;&#xFE0F;
🏄‍♀️,サーフィンをする女性,&#127940;&#8205;&#9792;&#65039;,&#x1F3C4;&#x200D;&#x2640;&#xFE0F;
🏄,サーフィンをする人,&#127940;,&#x1F3C4;
🏄‍♂️,サーフィンをする男性,&#127940;&#8205;&#9794;&#65039;,&#x1F3C4;&#x200D;&#x2642;&#xFE0F;
🏊‍♀️,泳ぐ女性,&#127946;&#8205;&#9792;&#65039;,&#x1F3CA;&#x200D;&#x2640;&#xFE0F;
🏊,泳ぐ人,&#127946;,&#x1F3CA;
🏊‍♂️,泳ぐ男性,&#127946;&#8205;&#9794;&#65039;,&#x1F3CA;&#x200D;&#x2642;&#xFE0F;
🤽‍♀️,水球をする女性 water みず,&#129341;&#8205;&#9792;&#65039;,&#x1F93D;&#x200D;&#x2640;&#xFE0F;
🤽,水球をする人 water みず,&#129341;,&#x1F93D;
🤽‍♂️,水球をする男性 water みず,&#129341;&#8205;&#9794;&#65039;,&#x1F93D;&#x200D;&#x2642;&#xFE0F;
🚣‍♀️,ボートを漕ぐ女性,&#128675;&#8205;&#9792;&#65039;,&#x1F6A3;&#x200D;&#x2640;&#xFE0F;
🚣,ボートを漕ぐ人,&#128675;,&#x1F6A3;
